out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
hus500,day,1,Specific Humidity,specific_humidity,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
hus500,1hr,1,Specific Humidity,specific_humidity,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
hus200,day,1,Specific Humidity,specific_humidity,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p200,real,,,,,
hus200,1hr,1,Specific Humidity,specific_humidity,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
zg1000,1hr,m,Geopotential Height,geopotential_height,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p1000,real,,,,,
zg925,day,m,Geopotential Height,geopotential_height,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p925,real,,,,,
zg925,1hr,m,Geopotential Height,geopotential_height,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p925,real,,,,,
zg850,day,m,Geopotential Height,geopotential_height,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p850,real,,,,,
zg850,1hr,m,Geopotential Height,geopotential_height,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p850,real,,,,,
zg700,day,m,Geopotential Height,geopotential_height,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p700,real,,,,,
zg700,1hr,m,Geopotential Height,geopotential_height,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p700,real,,,,,
zg500,day,m,Geopotential Height,geopotential_height,TIER1,#T33,area: time: mean,area: areacella,longitude latitude time p500,real,,,,,
zg500,1hr,m,Geopotential Height,geopotential_height,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p500,real,,,,,
zg200,1hr,m,Geopotential Height,geopotential_height,TIER1,#T33,area: mean time: point,area: areacella,longitude latitude time1 p200,real,,,,,
sfturf,fx,%,Percentage of the Grid Cell Occupied by Urban Area,area_fraction,TIER2,#T33 #WP4 #WP6 not in CMIP or in CF,area: mean where urban,area: areacella,longitude latitude,real,,,,,
od550aer,mon,1,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,TIER2,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
siconca,mon,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,TIER1,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauu,mon,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauu,day,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauu,1hr,Pa,Surface Downward Eastward Wind Stress,surface_downward_eastward_stress,TIER1,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauv,mon,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauv,day,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
tauv,1hr,Pa,Surface Downward Northward Wind Stress,surface_downward_northward_stress,TIER1,#T32,area: time: mean,area: areacella,longitude latitude time,real,,,,,
